GDPs,UR,HDI,GDPPPP,CR,IPR,NSR,Suicide
33580,3.6,0.871,66176.1,0.72,60,372,0.0241
39224,3,0.878,69202.7,0.78,85,328,0.0204
39724,3.2,0.883,66842.2,0.72,89,319,0.0197
38577,4.3,0.884,64934.8,0.67,90,349,0.0218
46570,3.1,0.909,73060.9,0.75,91,296,0.0180
53089,2.9,0.914,76034.3,0.75,91,308,0.0182
30979.879,5.743,0.84,29032.92,0.81,42.19,10,0.0091
32663.567,5.624,0.84,29858.91,0.8,44.68,10,0.0085
37934.377,5.697,0.84,29849.262,0.26,46,9,0.0082
27955.714,6.424,0.842,29546.101,0.78,49,2,0.0017
35269.553,6.658,0.842,30667.229,0.26,53,5,0.0041
47055.841,6.72,0.846,32480.416,0.25,56,5,0.0040
8255.3,3.32,0.742,19208.4,2.25,51.638,63,0.0009
8605,3.23,0.746,20022.2,2.45,55.7,62,0.0009
8850,3.34,0.725,20592.2,2.2,55.8,59,0.0008
8559.2,3.69,0.732,19915.7,2.03,55.9,40,0.0006
9040.6,3.25,0.774,21035.6,1.92,56.3,39,0.0006
9372,3.05,0.776,21806.8,1.85,61,34,0.0005
4526,1.22,0.661,12026.8,7.12,17.161,3612,0.0092
4745.3,1.18,0.67,12609.7,6.7,20.03,3756,0.0096
4801.9,1.18,0.649,12760,5.97,18.2,3778,0.0095
4744.8,1.49,0.686,12608.2,5.54,20.1,3787,0.0096
5076.3,0.622,0.72,13489.3,5.44,22.4,3761,0.0091
5094.5,0.66,0.729,13537.5,4.9,23.67,3873,0.0093
1405.14,7.7,0.624,4579.85,7.06,5.741,1788,0.0041
1683.74,6.4,0.63,4915.72,6.68,5.97,1698,0.0038
1941.04,7,0.622,5176.83,6.41,6.22,1820,0.0039
1851.07,7.4,0.646,5184.61,9.85,9,2074,0.0043
2155.36,7.4,0.669,5549.02,9.49,25,2118,0.0043
2379.83,6.7,0.666,5773.74,9.1,29,2449,0.0049
